correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test
0.2,14,400,0.001,[6],0.054740934167057276,0.004297267179936171
0.2,14,400,0.001,[12],0.03783106943592429,0.00221303291618824
0.2,16,400,0.001,[2],0.1442854106426239,0.007337401155382395
0.2,16,400,0.001,"[2, 2, 2]",0.15789558738470078,0.021173814311623573
0.2,16,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20690106600522995,0.002373182913288474
0.2,16,400,0.001,[6],0.05240924563258886,0.002867941977456212
0.2,16,400,0.001,[12],0.043553764931857586,0.002164858626201749
0.3,2,400,0.001,[2],0.09623625595122576,0.006447772029787302
0.3,2,400,0.001,"[2, 2, 2]",0.15378862246870995,0.027942966669797897
0.3,2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.13732613995671272,0.014615844003856182
0.3,2,400,0.001,[6],0.049965531565248966,0.0059846979565918446
0.3,2,400,0.001,[12],0.03825804777443409,0.0014623120659962296
0.3,4,400,0.001,[2],0.12148236948996782,0.005149116273969412
0.3,4,400,0.001,"[2, 2, 2]",0.18203319795429707,0.010767129249870777
0.3,4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20274021476507187,0.014351404272019863
0.3,4,400,0.001,[6],0.046894213650375605,0.006302943453192711
0.3,4,400,0.001,[12],0.03906852658838034,0.0038672953378409147
0.3,6,400,0.001,[2],0.15120740979909897,0.011934627778828144
0.3,6,400,0.001,"[2, 2, 2]",0.18035797402262688,0.01007876917719841
0.3,6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.16381950490176678,0.0576089508831501
0.3,6,400,0.001,[6],0.06119886785745621,0.009005206637084484
0.3,6,400,0.001,[12],0.03824563883244991,0.0026672950480133295
0.3,8,400,0.001,[2],0.09840299934148788,0.00825369730591774
0.3,8,400,0.001,"[2, 2, 2]",0.11433476861566305,0.03104465641081333
0.3,8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.18940019980072975,0.013065231032669544
0.3,8,400,0.001,[6],0.04134479770436883,0.004135034047067165
0.3,8,400,0.001,[12],0.032110459404066205,0.001991117838770151
0.3,10,400,0.001,[2],0.10551958344876766,0.010154779069125652
0.3,10,400,0.001,"[2, 2, 2]",0.15579707734286785,0.017054148018360138
0.3,10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2004819829016924,0.04455150291323662
0.3,10,400,0.001,[6],0.04516867082566023,0.004335209261626005
0.3,10,400,0.001,[12],0.04759332071989775,0.0027465331368148327
0.3,12,400,0.001,[2],0.13941149786114693,0.010792608372867107
0.3,12,400,0.001,"[2, 2, 2]",0.1529979333281517,0.017412589862942696
0.3,12,400,0.001,"[2, 2, 2, 2, 2, 2]",0.16988207958638668,0.010658175684511662
0.3,12,400,0.001,[6],0.05714768264442682,0.0043070088140666485
0.3,12,400,0.001,[12],0.03553729364648461,0.002447160193696618
0.3,14,400,0.001,[2],0.10432624537497759,0.012584333308041096
0.3,14,400,0.001,"[2, 2, 2]",0.1390345674008131,0.016669103875756264
0.3,14,400,0.001,"[2, 2, 2, 2, 2, 2]",0.21754610538482666,0.0039028299506753683
0.3,14,400,0.001,[6],0.05630306259263307,0.005793810356408358
0.3,14,400,0.001,[12],0.0324293770827353,0.001943841576576233
0.3,16,400,0.001,[2],0.14053434878587723,0.01181704644113779
0.3,16,400,0.001,"[2, 2, 2]",0.13778419978916645,0.021068025380373
0.3,16,400,0.001,"[2, 2, 2, 2, 2, 2]",0.18095888197422028,0.008791539818048477
0.3,16,400,0.001,[6],0.0422524472232908,0.004601054824888706
0.3,16,400,0.001,[12],0.03563042893074453,0.0026123947463929653
0.4,2,400,0.001,[2],0.17727982625365257,0.007250729948282242
0.4,2,400,0.001,"[2, 2, 2]",0.17900485917925835,0.01486208289861679
0.4,2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.13140485156327486,0.020759161561727524
0.4,2,400,0.001,[6],0.04720609076321125,0.002921574516221881
0.4,2,400,0.001,[12],0.04205955209909007,0.0017112729838117957
0.4,4,400,0.001,[2],0.12018507905304432,0.009141182526946068
0.4,4,400,0.001,"[2, 2, 2]",0.09974877163767815,0.020931178703904152
0.4,4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.17547237500548363,0.012570698745548725
0.4,4,400,0.001,[6],0.046358448918908834,0.0037385355681180954
0.4,4,400,0.001,[12],0.05299118533730507,0.009650577791035175
0.4,6,400,0.001,[2],0.12787757255136967,0.009433900006115437
0.4,6,400,0.001,"[2, 2, 2]",0.09394367295317352,0.021442964673042297
0.4,6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20543696358799934,0.00183295295573771
0.4,6,400,0.001,[6],0.04061743803322315,0.005439473316073418
0.4,6,400,0.001,[12],0.028752004611305892,0.0019368520006537437
0.4,8,400,0.001,[2],0.10128309763967991,0.013699190691113472
0.4,8,400,0.001,"[2, 2, 2]",0.12397095002233982,0.01930462382733822
0.4,8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20425274223089218,0.001664535142481327
0.4,8,400,0.001,[6],0.05430567869916558,0.011046655476093292
