ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test,loss_test_base_learner
5,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3125827834010124,1.0004395534224386e-07,0.2666248679161072
5,400,0.001,[6],0.3029318302869797,0.003099867608398199,0.06294427812099457
5,400,0.001,[12],0.6128657013177872,0.0018616929883137345,0.04828891158103943
6,200,0.001,[2],0.18181228265166283,0.0072303880006074905,0.1462605744600296
6,200,0.001,"[2, 2, 2]",0.14381804503500462,0.024498850107192993,0.1868487000465393
6,200,0.001,"[2, 2, 2, 2, 2, 2]",0.22696736454963684,0.00902564823627472,0.19981826841831207
6,200,0.001,[6],0.18781294487416744,0.006446161773055792,0.07355321943759918
6,200,0.001,[12],0.7988151013851166,0.0012718404177576303,0.08218742161989212
6,400,0.001,[2],0.3810160681605339,0.006783347111195326,0.12227264046669006
6,400,0.001,"[2, 2, 2]",0.3851446583867073,0.009056617505848408,0.15596678853034973
6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.1992074865847826,1.737422394398891e-06,0.20051313936710358
6,400,0.001,[6],0.04505645390599966,0.0019298818660899997,0.05878512188792229
6,400,0.001,[12],0.6769876033067703,0.0015429573832079768,0.04151967912912369
7,200,0.001,[2],0.2584868185222149,0.004937978461384773,0.12282436341047287
7,200,0.001,"[2, 2, 2]",0.6935874596238136,0.00561749329790473,0.18161211907863617
7,200,0.001,"[2, 2, 2, 2, 2, 2]",0.18738908134400845,0.0034672103356570005,0.189573273062706
7,200,0.001,[6],0.13995781354606152,0.0037907615769654512,0.07327322661876678
7,200,0.001,[12],0.4118443578481674,0.0008276158478111029,0.04482843726873398
7,400,0.001,[2],0.21551169827580452,0.004527068696916103,0.14905273914337158
7,400,0.001,"[2, 2, 2]",0.2959509715437889,0.024022476747632027,0.18724402785301208
7,400,0.001,"[2, 2, 2, 2, 2, 2]",0.36858639121055603,0.0054282560013234615,0.1973748505115509
7,400,0.001,[6],0.26342634856700897,0.004906499292701483,0.08093927800655365
7,400,0.001,[12],0.3810054734349251,0.0009650492575019598,0.040607038885354996
8,200,0.001,[2],0.32003776729106903,0.007050714455544949,0.1546783149242401
8,200,0.001,"[2, 2, 2]",0.1409947406500578,0.01014102902263403,0.1416609138250351
8,200,0.001,"[2, 2, 2, 2, 2, 2]",0.3319370411336422,0.005462075117975473,0.2522163391113281
8,200,0.001,[6],0.10160157643258572,0.0030061372090131044,0.0762106329202652
8,200,0.001,[12],0.559114620089531,0.0008117261459119618,0.047403331845998764
8,400,0.001,[2],0.2654676176607609,0.008538675494492054,0.13986599445343018
8,400,0.001,"[2, 2, 2]",0.22713028639554977,0.011157711036503315,0.21284323930740356
8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.4591388404369354,0.013410532847046852,0.1926347017288208
8,400,0.001,[6],0.55667794495821,0.0040011899545788765,0.06290357559919357
8,400,0.001,[12],0.6578454077243805,0.001214423798955977,0.05012219771742821
9,200,0.001,[2],0.2371995486319065,0.009142784401774406,0.16224275529384613
9,200,0.001,"[2, 2, 2]",0.6976576000452042,0.02012033574283123,0.1459888219833374
9,200,0.001,"[2, 2, 2, 2, 2, 2]",0.26133642345666885,0.004909269977360964,0.18765757977962494
9,200,0.001,[6],0.13148095272481441,0.003382694674655795,0.09958155453205109
9,200,0.001,[12],0.13349604979157448,0.0012176950694993138,0.04323769360780716
9,400,0.001,[2],0.33659302815794945,0.007371826097369194,0.11326324939727783
9,400,0.001,"[2, 2, 2]",0.1526249423623085,0.011863782070577145,0.15858341753482819
9,400,0.001,"[2, 2, 2, 2, 2, 2]",0.18334678141400218,0.0030863252468407154,0.18092584609985352
9,400,0.001,[6],0.43665897846221924,0.004048058297485113,0.07465536147356033
9,400,0.001,[12],0.10962119698524475,0.0012311870232224464,0.041830968111753464
10,200,0.001,[2],0.11558777745813131,0.007467014715075493,0.1699351966381073
10,200,0.001,"[2, 2, 2]",0.4694633483886719,0.013414259068667889,0.15498268604278564
