ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test,loss_test_base_learner
5,200,0.001,[2],0.09733874956145883,0.0061011225916445255,0.11391200870275497
5,200,0.001,"[2, 2, 2]",0.10441582649946213,0.008493398316204548,0.10919952392578125
5,200,0.001,"[2, 2, 2, 2, 2, 2]",0.20195307955145836,0.02471432276070118,0.21695366501808167
5,200,0.001,[6],0.08795422874391079,0.0028226033318787813,0.09385804831981659
5,200,0.001,[12],0.043827689718455076,0.00133223133161664,0.04450943320989609
5,400,0.001,[2],0.11088477075099945,0.004145168699324131,0.13059140741825104
5,400,0.001,"[2, 2, 2]",0.22438503056764603,0.005796764977276325,0.2020343840122223
5,400,0.001,"[2, 2, 2, 2, 2, 2]",0.23717015236616135,0.011174188926815987,0.20657964050769806
5,400,0.001,[6],0.053067217115312815,0.0016565980622544885,0.05735958740115166
5,400,0.001,[12],0.043918794952332973,0.000650340283755213,0.045113455504179
6,200,0.001,[2],0.12025131098926067,0.005452875047922134,0.13173507153987885
6,200,0.001,"[2, 2, 2]",0.21640674769878387,0.009955528192222118,0.17894871532917023
6,200,0.001,"[2, 2, 2, 2, 2, 2]",0.21796731650829315,0.0016990873264148831,0.2114136666059494
6,200,0.001,[6],0.0899335965514183,0.00293482537381351,0.09682360291481018
6,200,0.001,[12],0.06098700640723109,0.001056867535226047,0.06257092207670212
6,400,0.001,[2],0.15137676522135735,0.007831010967493057,0.12855501472949982
6,400,0.001,"[2, 2, 2]",0.1727608498185873,0.009776098653674126,0.16180305182933807
6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20355071313679218,3.453067449754599e-07,0.20358330011367798
6,400,0.001,[6],0.10901591274887323,0.0029144964646548033,0.11444740742444992
6,400,0.001,[12],0.04844402801245451,0.0012454736279323697,0.04978250339627266
7,200,0.001,[2],0.13373919483274221,0.00547807477414608,0.13644956052303314
7,200,0.001,"[2, 2, 2]",0.20882229134440422,0.03482748940587044,0.2109159529209137
