ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test,loss_test_base_learner
4,200,0.001,[6],0.06787654757499695,0.004489637911319733,0.07225196063518524
4,200,0.001,[12],0.052649276331067085,0.0025837584398686886,0.05517417937517166
4,400,0.001,[2],0.14489728026092052,0.007699349895119667,0.15234826505184174
4,400,0.001,"[2, 2, 2]",0.13124255649745464,0.01025361381471157,0.1410500407218933
4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2803962714970112,0.001026488491334021,0.2816196382045746
4,400,0.001,[6],0.05857794074108824,0.0037680850364267826,0.06179961562156677
4,400,0.001,[12],0.04104104428552091,0.0012590792030096054,0.04220554232597351
5,200,0.001,[2],0.10516052157618105,0.007497458253055811,0.11166311800479889
5,200,0.001,"[2, 2, 2]",0.146272923797369,0.010182660073041916,0.1561519205570221
5,200,0.001,"[2, 2, 2, 2, 2, 2]",0.22420504316687584,0.01446190569549799,0.2394445687532425
5,200,0.001,[6],0.08310093823820353,0.0019028122769668698,0.08489986509084702
5,200,0.001,[12],0.0525366086512804,0.0012654439778998494,0.05371112748980522
5,400,0.001,[2],0.13798993080854416,0.004717819392681122,0.14226919412612915
5,400,0.001,"[2, 2, 2]",0.1478863200172782,0.009348221123218536,0.1568455547094345
5,400,0.001,"[2, 2, 2, 2, 2, 2]",0.1945438999682665,0.000990416156128049,0.1954365074634552
5,400,0.001,[6],0.05707925092428923,0.002678618533536792,0.059682369232177734
5,400,0.001,[12],0.037483875872567296,0.0011751458514481783,0.038568105548620224
6,200,0.001,[2],0.10218843771144748,0.007397875655442476,0.10879404097795486
6,200,0.001,"[2, 2, 2]",0.15772776352241635,0.00543175358325243,0.16249100863933563
6,200,0.001,"[2, 2, 2, 2, 2, 2]",0.21297479793429375,0.0007623265264555812,0.21370409429073334
6,200,0.001,[6],0.0802383553236723,0.005934072658419609,0.08608811348676682
6,200,0.001,[12],0.045098214875906706,0.0014384979149326682,0.046445202082395554
6,400,0.001,[2],0.11945055611431599,0.006644305773079395,0.12594641745090485
6,400,0.001,"[2, 2, 2]",0.11895929276943207,0.009627323597669601,0.12718115746974945
6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.22535129636526108,0.002210404258221388,0.2277444750070572
