ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test,loss_test_base_learner
9,400,0.001,[2],0.22761214338243008,0.008776379749178886,0.12646019458770752
9,400,0.001,"[2, 2, 2]",0.4729551523923874,0.008350366726517677,0.16973629593849182
9,400,0.001,"[2, 2, 2, 2, 2, 2]",0.21376172825694084,0.010450944304466248,0.1705809235572815
9,400,0.001,[6],0.5137980952858925,0.0028553353622555733,0.0593130923807621
9,400,0.001,[12],0.2844168096780777,0.0011600301368162036,0.04186823219060898
10,200,0.001,[2],0.16679048910737038,0.008156633004546165,0.14473344385623932
10,200,0.001,"[2, 2, 2]",0.20649860240519047,0.013032693415880203,0.1677471250295639
10,200,0.001,"[2, 2, 2, 2, 2, 2]",0.2942940890789032,0.029226483777165413,0.19681358337402344
10,200,0.001,[6],0.11599652841687202,0.005306558683514595,0.06938917934894562
10,200,0.001,[12],0.43254779651761055,0.001044470933265984,0.041750818490982056
10,400,0.001,[2],0.5269259884953499,0.007474880199879408,0.17009027302265167
10,400,0.001,"[2, 2, 2]",0.16152272373437881,0.010480565950274467,0.1556045114994049
10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.25448593869805336,0.0007122113602235913,0.21073126792907715
10,400,0.001,[6],0.5311904698610306,0.003919081296771765,0.06442379951477051
10,400,0.001,[12],0.7854131013154984,0.0014201332814991474,0.038532521575689316
11,200,0.001,[2],0.2052629068493843,0.005987354554235935,0.1081850528717041
11,200,0.001,"[2, 2, 2]",0.33268025517463684,0.013512946665287018,0.15418089926242828
11,200,0.001,"[2, 2, 2, 2, 2, 2]",0.3270792029798031,0.007095398847013712,0.2556581199169159
11,200,0.001,[6],0.1348996888846159,0.004955037496984005,0.07480714470148087
11,200,0.001,[12],0.05955813731998205,0.0014410539297387004,0.04800131171941757
11,400,0.001,[2],0.29757153429090977,0.009632172994315624,0.12239141762256622
11,400,0.001,"[2, 2, 2]",0.30027639865875244,0.03178471326828003,0.18859533965587616
11,400,0.001,"[2, 2, 2, 2, 2, 2]",0.1728015597909689,0.011436800472438335,0.18894749879837036
11,400,0.001,[6],0.4268292188644409,0.004057477694004774,0.0791097953915596
11,400,0.001,[12],0.29894286021590233,0.0011585195316001773,0.04977526515722275
12,200,0.001,[2],0.22350844740867615,0.007103289011865854,0.11413469165563583
12,200,0.001,"[2, 2, 2]",0.37262003868818283,0.01051204651594162,0.17736053466796875
12,200,0.001,"[2, 2, 2, 2, 2, 2]",0.2807330973446369,0.007458212319761515,0.18839259445667267
12,200,0.001,[6],0.40045401453971863,0.004411429166793823,0.06789930909872055
12,200,0.001,[12],0.06937168352305889,0.001283470424823463,0.04378785565495491
12,400,0.001,[2],0.23469451069831848,0.007446973118931055,0.14660172164440155
12,400,0.001,"[2, 2, 2]",0.411683052778244,0.010722079314291477,0.18098558485507965
12,400,0.001,"[2, 2, 2, 2, 2, 2]",0.21804331988096237,0.010081472806632519,0.16548281908035278
12,400,0.001,[6],0.16158041171729565,0.001894053420983255,0.060460131615400314
12,400,0.001,[12],0.1650819405913353,0.001421499764546752,0.03767780587077141
13,200,0.001,[2],0.13662042189389467,0.0066895922645926476,0.11879198998212814
13,200,0.001,"[2, 2, 2]",0.264251884073019,0.008466562256217003,0.18316057324409485
13,200,0.001,"[2, 2, 2, 2, 2, 2]",0.17740036267787218,0.005080278031527996,0.17109695076942444
13,200,0.001,[6],0.26400597766041756,0.0036400100216269493,0.09148861467838287
13,200,0.001,[12],0.2897404283285141,0.0015329164452850819,0.04415711387991905
13,400,0.001,[2],0.2662500813603401,0.007043925579637289,0.15159635245800018
13,400,0.001,"[2, 2, 2]",0.23329727351665497,0.011044396087527275,0.19515515863895416
13,400,0.001,"[2, 2, 2, 2, 2, 2]",0.29151614382863045,0.007717308588325977,0.16344903409481049
13,400,0.001,[6],1.279580444097519,0.003040418028831482,0.05925387516617775
13,400,0.001,[12],0.807668536901474,0.0016595938941463828,0.04827878251671791
14,200,0.001,[2],0.24611448869109154,0.00609342847019434,0.11120391637086868
14,200,0.001,"[2, 2, 2]",0.4181104153394699,0.00775580620393157,0.16837477684020996
14,200,0.001,"[2, 2, 2, 2, 2, 2]",0.39593590795993805,0.005599856376647949,0.2197558879852295
14,200,0.001,[6],0.25680359080433846,0.0036837460938841105,0.11768574267625809
14,200,0.001,[12],0.3540569059550762,0.001410323427990079,0.04490109160542488
14,400,0.001,[2],0.4849099889397621,0.006692053284496069,0.11653556674718857
14,400,0.001,"[2, 2, 2]",0.3501947224140167,0.022503579035401344,0.17931103706359863
14,400,0.001,"[2, 2, 2, 2, 2, 2]",0.6663303226232529,0.0031647104769945145,0.24804803729057312
14,400,0.001,[6],0.05129799561109394,0.004447618965059519,0.05732175335288048
14,400,0.001,[12],0.8255570605397224,0.0012901702430099249,0.03820309787988663
15,200,0.001,[2],0.18676911480724812,0.00669189915060997,0.11007704585790634
15,200,0.001,"[2, 2, 2]",0.35610348731279373,0.014246303588151932,0.18927522003650665
15,200,0.001,"[2, 2, 2, 2, 2, 2]",0.5232389569282532,0.006994700990617275,0.24502165615558624
15,200,0.001,[6],0.2511342726647854,0.0028372134547680616,0.059078529477119446
15,200,0.001,[12],0.43604377657175064,0.0012781486148014665,0.0524589978158474
15,400,0.001,[2],0.6976107582449913,0.006607073359191418,0.15081830322742462
15,400,0.001,"[2, 2, 2]",0.1860416755080223,0.014909244142472744,0.19066140055656433
15,400,0.001,"[2, 2, 2, 2, 2, 2]",0.29293719306588173,0.0065041640773415565,0.2145734429359436
15,400,0.001,[6],0.26362423971295357,0.0034504879731684923,0.06220530346035957
15,400,0.001,[12],0.07652163924649358,0.0012315490748733282,0.038856733590364456
16,200,0.001,[2],0.15855314023792744,0.006177131552249193,0.12356182187795639
16,200,0.001,"[2, 2, 2]",0.19132441468536854,0.009575528092682362,0.18253163993358612
16,200,0.001,"[2, 2, 2, 2, 2, 2]",0.22011692449450493,0.004172538872808218,0.2182368040084839
16,200,0.001,[6],0.19762898981571198,0.0037269508466124535,0.06886890530586243
16,200,0.001,[12],0.7149673178792,0.0013357331044971943,0.06431609392166138
16,400,0.001,[2],0.10281859058886766,0.008187779225409031,0.11320813000202179
16,400,0.001,"[2, 2, 2]",0.7948961853981018,0.011287285014986992,0.15214696526527405
16,400,0.001,"[2, 2, 2, 2, 2, 2]",0.34701353311538696,0.0013900867197662592,0.19951897859573364
16,400,0.001,[6],0.0321842145640403,0.0030438804533332586,0.07108574360609055
16,400,0.001,[12],0.06983587564900517,0.001224562874995172,0.03789261728525162
