ensemble_size,epoch_num,learning_rate,average_loss_train_traditional,average_loss_test_traditional,average_loss_train_mlp,average_loss_test_mlp,average_individual_loss_train_traditional,average_individual_loss_test_traditional,diversity_coefficient_train_traditional,diversity_coefficient_test_traditional
6,300,0.0015,0.04772136288766678,0.08095325995236635,0.07053407052388558,0.05659683921840042,0.05415749549865723,0.09181205183267593,0.006455203518271446,0.009045159444212914
6,300,0.002,0.044198969235787026,0.058482693042606115,0.08320356189058377,0.08130269311368465,0.04683210328221321,0.061540886759757996,0.002641150029376149,0.003316638758406043
8,50,0.0005,0.0915309488773346,0.16660851426422596,0.09985657093616632,0.11180025478824973,0.0956723690032959,0.17179250717163086,0.00413621636107564,0.004954393021762371
8,50,0.001,0.07567862134713393,0.11001726519316435,0.11751024768902706,0.1227441793307662,0.07854203134775162,0.11362744867801666,0.002867673523724079,0.003640225389972329
8,50,0.0015,0.06261962150725034,0.11893937364220619,0.07225405797362328,0.07525227963924408,0.06553676724433899,0.12283755838871002,0.0029189707711338997,0.00420865835621953
8,50,0.002,0.06341698120992917,0.08644262421876192,0.06920311227440834,0.0641536545008421,0.06770775467157364,0.09211616963148117,0.004231390543282032,0.005717352498322725
8,100,0.0005,0.07303751833163775,0.11194504424929619,0.1046125149497619,0.18790007755160332,0.07491259276866913,0.114552803337574,0.0018573537236079574,0.002744644647464156
8,100,0.001,0.06016660080506252,0.09202529117465019,0.06894586865718548,0.08540244214236736,0.06307235360145569,0.09550799429416656,0.0028792142402380705,0.0037526844535022974
8,100,0.0015,0.04792762146546291,0.07608711626380682,0.06715328246355057,0.07165110483765602,0.0498381108045578,0.07913540303707123,0.0019054498989135027,0.003092443337664008
8,100,0.002,0.045969227042335734,0.06038261437788606,0.0617687593285854,0.06897684698924422,0.047210223972797394,0.062004610896110535,0.0012430510250851512,0.0018035704270005226
8,150,0.0005,0.058876398807534806,0.08480059402063489,0.07649691374256061,0.07843046076595783,0.06215342506766319,0.0891951248049736,0.0033195854630321264,0.004551961086690426
8,150,0.001,0.05347634937900763,0.0689861555583775,0.10171343042300297,0.14203108474612236,0.056347861886024475,0.07238662987947464,0.002853226847946644,0.0036539286375045776
8,150,0.0015,0.05372442161807647,0.07261841092258692,0.05733999129957878,0.04670867137610912,0.057358093559741974,0.07753734290599823,0.003680343274027109,0.005361776798963547
8,150,0.002,0.043862011713477284,0.054516238858923316,0.09387072319021592,0.11677679885178804,0.045653413981199265,0.05679616332054138,0.001785638858564198,0.0021901011932641268
8,200,0.0005,0.057992806944709555,0.0781998448073864,0.08162010776308867,0.07624776661396027,0.06086951121687889,0.08133314549922943,0.002910059178248048,0.0035273339599370956
8,200,0.001,0.04825417969662409,0.06118845078162849,0.06382596435455176,0.055638736579567194,0.050345662981271744,0.06378224492073059,0.0020995193626731634,0.002803502371534705
8,200,0.0015,0.04234504685378992,0.06657646596431732,0.07665080089981739,0.10850419942289591,0.04429810866713524,0.0693536251783371,0.0019395401468500495,0.0024404332507401705
8,200,0.002,0.04687061017522445,0.07747349143028259,0.07534581164901073,0.06527210306376219,0.050370410084724426,0.08246930688619614,0.0035391924902796745,0.004121542442589998
