correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,evolution_epoch,max_fitness,average_loss_train_neat_ncl,average_loss_test_neat_ncl,average_loss_train_static_ncl,average_loss_test_static_ncl,average_loss_train_traditional,average_loss_test_traditional,average_loss_train_mlp,average_loss_test_mlp,diversity_coefficient_train_neat_ncl,diversity_coefficient_test_neat_ncl,diversity_coefficient_train_static_ncl,diversity_coefficient_test_static_ncl,diversity_coefficient_train_traditional,diversity_coefficient_test_traditional
0.0,4,100,0.001,110,30.0,347.8102060953776,311.78627014160156,9.42159636815389,9.873371601104736,7.23404582341512,7.388768196105957,7.955072244008382,7.348762273788452,53.64980697631836,53.64980697631836,0.43472209572792053,0.4149036705493927,0.3460654616355896,0.3671521544456482
0.0,4,100,0.001,110,50.0,332.3783213297526,305.10552978515625,8.515202601750692,10.180287837982178,8.59417994817098,9.374621868133545,8.163471142450968,12.192485809326172,82.65885162353516,82.6588363647461,0.34855788946151733,0.31009331345558167,0.6375033259391785,0.5272532105445862
0.0,4,100,0.001,140,10.0,243.8173065185547,247.38516235351562,7.6037163734436035,7.397475957870483,8.24510383605957,8.195500612258911,8.792872667312622,10.313583850860596,75.2123794555664,75.21237182617188,0.5869198441505432,0.43866002559661865,0.8048847317695618,0.7670215964317322
0.0,4,100,0.001,140,30.0,372.7961680094401,343.1315002441406,8.430005669593811,6.937613606452942,8.771608511606852,9.57439374923706,10.532518068949381,8.853216171264648,50.43745422363281,50.43741989135742,0.6269981265068054,0.5876514911651611,0.4173182547092438,0.4004542827606201
0.0,4,100,0.001,140,50.0,285.85367584228516,289.1265640258789,8.807562510172525,9.425922155380249,6.924190004666646,9.602566003799438,8.556695461273193,8.364348411560059,55.08695983886719,55.08696365356445,0.6170172691345215,0.5534048676490784,1.3122742176055908,1.2892333269119263
0.0,4,100,0.001,170,10.0,168.72699356079102,156.49242401123047,7.518934051195781,9.44664478302002,8.302895387013754,8.113516330718994,8.308284044265747,8.965738534927368,173.25697326660156,173.25584411621094,0.7282550930976868,0.5504298210144043,0.5460208654403687,0.505466103553772
0.0,4,100,0.001,170,30.0,232.1029535929362,215.4315948486328,8.485683043797811,9.609416961669922,8.023225704828898,9.077961444854736,8.586130936940512,9.104613065719604,101.74712371826172,101.74432373046875,0.565402090549469,0.4646134078502655,0.6630650758743286,0.6232388615608215
0.0,4,100,0.001,170,50.0,261.3924865722656,250.31573486328125,8.465889056523642,7.979433536529541,8.65655255317688,9.612111568450928,9.92506456375122,10.439794063568115,44.167667388916016,44.16767501831055,2.4180045127868652,2.401757001876831,0.3785736858844757,0.34277015924453735
0.25,2,100,0.001,110,10.0,268.81825764973956,257.3301467895508,7.561448891957601,9.593607425689697,10.021084864934286,9.01255488395691,10.243169466654459,9.794796466827393,74.19457244873047,74.194580078125,0.9588935375213623,0.9603542685508728,1.9785878658294678,1.8897556066513062
0.25,2,100,0.001,110,30.0,64.6276346842448,57.33031463623047,8.59232727686564,6.961520314216614,8.464830080668131,8.453266382217407,8.26496402422587,9.801439762115479,239.8938446044922,239.8938751220703,0.3888774812221527,0.3029765188694,0.48778361082077026,0.43393614888191223
0.25,2,100,0.001,110,50.0,237.36691284179688,246.9838638305664,8.700979868570963,9.758758068084717,9.53435484568278,8.088338375091553,7.006553332010905,8.93262505531311,102.50491333007812,102.50489044189453,0.21837982535362244,0.22443048655986786,0.6706271171569824,0.6397008895874023
0.25,2,100,0.001,140,10.0,266.1885401407878,248.5370864868164,8.182742039362589,8.060466289520264,8.096155643463135,8.903717517852783,7.651841958363851,8.577304601669312,123.51619720458984,123.5162124633789,1.0511000156402588,0.9664475917816162,1.1967215538024902,1.1016845703125
0.25,2,100,0.001,140,30.0,503.6871643066406,502.047119140625,8.339865446090698,8.94327688217163,7.861455122629802,9.537954807281494,7.675374984741211,8.73818826675415,0.0,0.0,1.1587194204330444,1.106544017791748,0.32854190468788147,0.28773927688598633
