correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test
0.0,7,400,0.001,"[2, 2, 2]",0.20992185547947884,0.003999719396233559
0.0,7,400,0.001,"[2, 2, 2, 2, 2, 2]",0.32220641523599625,0.005321227014064789
0.0,7,400,0.001,[6],0.07719377800822258,0.0029892707243561745
0.0,7,400,0.001,[12],0.06070282030850649,0.002688760869204998
0.0,8,400,0.001,[2],0.12404821626842022,0.004576880019158125
0.0,8,400,0.001,"[2, 2, 2]",0.24030109494924545,0.005971240811049938
0.0,8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.1849096962250769,0.022683773189783096
0.0,8,400,0.001,[6],0.0712967487052083,0.003055007429793477
0.0,8,400,0.001,[12],0.10661585628986359,0.002577457344159484
0.0,9,400,0.001,[2],0.1086789034307003,0.006817049812525511
0.0,9,400,0.001,"[2, 2, 2]",0.1937912404537201,0.010969216004014015
0.0,9,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2701169475913048,0.004859506152570248
0.0,9,400,0.001,[6],0.08065161993727088,0.004033657722175121
0.0,9,400,0.001,[12],0.04588534729555249,0.0011006917338818312
0.0,10,400,0.001,[2],0.09844863507896662,0.005137511529028416
0.0,10,400,0.001,"[2, 2, 2]",0.19945202954113483,0.014122643508017063
0.0,10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20956233516335487,0.002514209598302841
0.0,10,400,0.001,[6],0.072170355822891,0.004117161501199007
0.0,10,400,0.001,[12],0.043758482206612825,0.0021619852632284164
0.0,11,400,0.001,[2],0.14993644878268242,0.0056356885470449924
0.0,11,400,0.001,"[2, 2, 2]",0.16027558781206608,0.010702939704060555
0.0,11,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3150188587605953,0.006101598497480154
0.0,11,400,0.001,[6],0.07468133745715022,0.0040268502198159695
0.0,11,400,0.001,[12],0.04871648829430342,0.0015983564080670476
0.0,12,400,0.001,[2],0.16938146948814392,0.0070658414624631405
0.0,12,400,0.001,"[2, 2, 2]",0.1823144000954926,0.007428558077663183
0.0,12,400,0.001,"[2, 2, 2, 2, 2, 2]",0.24130624905228615,0.008761863224208355
0.0,12,400,0.001,[6],0.06597212655469775,0.0032201765570789576
0.0,12,400,0.001,[12],0.056103705894201994,0.0027884701266884804
0.0,13,400,0.001,[2],0.13754253648221493,0.007045624312013388
0.0,13,400,0.001,"[2, 2, 2]",0.23461174219846725,0.0072840056382119656
0.0,13,400,0.001,"[2, 2, 2, 2, 2, 2]",0.1939555909484625,0.0009940459858626127
0.0,13,400,0.001,[6],0.06007417989894748,0.003803192637860775
