correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,hidden_size,average_loss_train_static_ncl,average_loss_test_static_ncl,average_loss_train_traditional,average_loss_test_traditional,average_loss_train_mlp,average_loss_test_mlp,diversity_coefficient_train_static_ncl,diversity_coefficient_test_static_ncl,diversity_coefficient_train_traditional,diversity_coefficient_test_traditional
0.2,12,500,0.001,[2],0.0778264932334423,0.13927189446985722,0.08739005699753762,0.22639175131917,0.1293635807931423,0.17078355699777603,0.006536958273500204,0.008966232649981976,0.0047945426777005196,0.00689701410010457
0.2,12,500,0.001,"[2, 2]",0.10609757527709007,0.1685301698744297,0.10335260853171349,0.13913939706981182,0.15101449191570282,0.2468382939696312,0.017076605930924416,0.018346674740314484,0.005687099881470203,0.007564379833638668
0.2,12,500,0.001,"[2, 2, 2]",0.1016054417937994,0.1985336523503065,0.11280877850949764,0.14093295857310295,0.1373061329126358,0.17399558424949646,0.010578393004834652,0.013555075973272324,0.013721788302063942,0.014962018467485905
0.2,12,500,0.001,"[2, 2, 2, 2]",0.12065883725881577,0.21297794952988625,0.12508320286870003,0.19568428583443165,0.15212684124708176,0.23346241936087608,0.026365960016846657,0.026878254488110542,0.014793927781283855,0.01569087617099285
0.2,14,500,0.001,[2],0.08369859978556633,0.10071298619732261,0.08968518897891045,0.16696558892726898,0.08217000588774681,0.08137098792940378,0.006002977956086397,0.009116169065237045,0.004913017153739929,0.0065536643378436565
0.2,14,500,0.001,"[2, 2]",0.10514152124524116,0.18065309152007103,0.10736091174185276,0.1726650819182396,0.1252622961997986,0.18520308285951614,0.009835757315158844,0.011593877337872982,0.016954652965068817,0.017818022519350052
0.2,14,500,0.001,"[2, 2, 2]",0.10128007158637047,0.12788820825517178,0.12501966282725335,0.15998412389308214,0.15262064561247826,0.2509458176791668,0.02015596814453602,0.023636000230908394,0.015885330736637115,0.016335362568497658
0.2,14,500,0.001,"[2, 2, 2, 2]",0.1354716934263706,0.18006068654358387,0.11696490943431855,0.19386142492294312,0.1548464447259903,0.20161503925919533,0.0060763549990952015,0.0062531279399991035,0.021830115467309952,0.02320157364010811
0.2,16,500,0.001,[2],0.07523792255669833,0.15732151083648205,0.08279033489525318,0.16955111734569073,0.1243651382625103,0.11526365671306849,0.007193302735686302,0.009536944329738617,0.0050047412514686584,0.007257223129272461
0.2,16,500,0.001,"[2, 2]",0.09316255003213883,0.14038081839680672,0.10047947727143765,0.166262561455369,0.13051193431019784,0.17113831266760826,0.011168130673468113,0.013238640502095222,0.007883918471634388,0.010382446460425854
