correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test
0.2,8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.5251663327217102,0.007601666729897261
0.2,8,400,0.001,[6],1.1137115210294724,0.006792984902858734
0.2,8,400,0.001,[12],0.07870815321803093,0.002130374778062105
0.2,9,400,0.001,[2],0.15499050170183182,0.011351780965924263
0.2,9,400,0.001,"[2, 2, 2]",0.2255634143948555,0.017464810982346535
0.2,9,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2689231261610985,0.005373468156903982
0.2,9,400,0.001,[6],0.2821284234523773,0.004577567335218191
0.2,9,400,0.001,[12],0.06881650164723396,0.0020413927268236876
0.2,10,400,0.001,[2],0.16170392371714115,0.009031694382429123
0.2,10,400,0.001,"[2, 2, 2]",0.18455238454043865,0.008232461288571358
0.2,10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2665758281946182,0.005248274654150009
0.2,10,400,0.001,[6],0.46587060391902924,0.005030899774283171
0.2,10,400,0.001,[12],0.1486982349306345,0.0029429751448333263
0.2,11,400,0.001,[2],0.1959810722619295,0.011943193152546883
0.2,11,400,0.001,"[2, 2, 2]",0.9168567210435867,0.014088430441915989
0.2,11,400,0.001,"[2, 2, 2, 2, 2, 2]",0.1619999846443534,0.005614560097455978
0.2,11,400,0.001,[6],0.1584055945277214,0.0077096507884562016
0.2,11,400,0.001,[12],0.11677579022943974,0.0036259787157177925
0.2,12,400,0.001,[2],0.2467355839908123,0.011571862734854221
0.2,12,400,0.001,"[2, 2, 2]",0.28474944084882736,0.01053126435726881
0.2,12,400,0.001,"[2, 2, 2, 2, 2, 2]",0.23930202797055244,0.004781271796673536
0.2,12,400,0.001,[6],0.11497963778674603,0.005771235097199678
0.2,12,400,0.001,[12],0.6330290734767914,0.007047184742987156
0.2,13,400,0.001,[2],0.22674790397286415,0.009937799535691738
0.2,13,400,0.001,"[2, 2, 2]",0.671928770840168,0.012171274051070213
0.2,13,400,0.001,"[2, 2, 2, 2, 2, 2]",0.28386008739471436,0.0022128457203507423
0.2,13,400,0.001,[6],0.23056943714618683,0.008227898739278316
0.2,13,400,0.001,[12],0.3236129842698574,0.0037444233894348145
0.2,14,400,0.001,[2],0.1718578040599823,0.006403470877557993
0.2,14,400,0.001,"[2, 2, 2]",0.24788279831409454,0.016235293820500374
0.2,14,400,0.001,"[2, 2, 2, 2, 2, 2]",0.5428134575486183,0.0030222281347960234
0.2,14,400,0.001,[6],0.026682789903134108,0.00527647091075778
0.2,14,400,0.001,[12],1.2349925935268402,0.0017966334708034992
0.2,15,400,0.001,[2],0.4151343032717705,0.009706966578960419
0.2,15,400,0.001,"[2, 2, 2]",0.433989554643631,0.01857849583029747
0.2,15,400,0.001,"[2, 2, 2, 2, 2, 2]",0.17928740661591291,0.005594003014266491
0.2,15,400,0.001,[6],0.21905087679624557,0.004537797532975674
0.2,15,400,0.001,[12],0.5159312039613724,0.0023705412168055773
0.2,16,400,0.001,[2],0.14059077482670546,0.010195121169090271
0.2,16,400,0.001,"[2, 2, 2]",0.32412250712513924,0.013018629513680935
0.2,16,400,0.001,"[2, 2, 2, 2, 2, 2]",0.17167512327432632,0.009678422473371029
0.2,16,400,0.001,[6],0.07998653128743172,0.005084109492599964
0.2,16,400,0.001,[12],0.7813264727592468,0.004121747799217701
0.3,2,400,0.001,[2],0.24268582835793495,0.00960676558315754
0.3,2,400,0.001,"[2, 2, 2]",0.13683884870260954,0.010866665281355381
0.3,2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20689932629466057,5.240147515905846e-07
0.3,2,400,0.001,[6],0.35263791680336,0.0038182444404810667
0.3,2,400,0.001,[12],0.16413018479943275,0.002474312437698245
0.3,3,400,0.001,[2],0.21222196519374847,0.00849752128124237
0.3,3,400,0.001,"[2, 2, 2]",0.49348966777324677,0.014374387450516224
0.3,3,400,0.001,"[2, 2, 2, 2, 2, 2]",0.17820210754871368,0.008626778610050678
0.3,3,400,0.001,[6],0.12102724565193057,0.00342141417786479
0.3,3,400,0.001,[12],0.05804221471771598,0.004579384345561266
0.3,4,400,0.001,[2],0.7098377197980881,0.01391638070344925
0.3,4,400,0.001,"[2, 2, 2]",0.2785366512835026,0.0022553016897290945
0.3,4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2903442978858948,0.0013931978028267622
0.3,4,400,0.001,[6],0.6879374086856842,0.0040748766623437405
0.3,4,400,0.001,[12],0.8220411837100983,0.0014748087851330638
0.3,5,400,0.001,[2],0.366014938801527,0.010402120649814606
0.3,5,400,0.001,"[2, 2, 2]",0.4911527931690216,0.03088696487247944
0.3,5,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2775058150291443,0.0045072222128510475
0.3,5,400,0.001,[6],0.20484697818756104,0.005656426306813955
0.3,5,400,0.001,[12],0.6097971796989441,0.012380164116621017
0.3,6,400,0.001,[2],0.3045182041823864,0.012271364219486713
0.3,6,400,0.001,"[2, 2, 2]",0.2553785815834999,0.013802582398056984
0.3,6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3152794614434242,0.14130666851997375
0.3,6,400,0.001,[6],0.9933966249227524,0.006105578970164061
0.3,6,400,0.001,[12],0.3198729194700718,0.0026168895419687033
0.3,7,400,0.001,[2],0.4372926950454712,0.00792602263391018
0.3,7,400,0.001,"[2, 2, 2]",0.22406888380646706,0.016378968954086304
0.3,7,400,0.001,"[2, 2, 2, 2, 2, 2]",0.32574038207530975,0.031223414465785027
0.3,7,400,0.001,[6],0.038651891984045506,0.005282670259475708
0.3,7,400,0.001,[12],0.15894555300474167,0.0018660256173461676
0.3,8,400,0.001,[2],0.2599147893488407,0.012420178391039371
0.3,8,400,0.001,"[2, 2, 2]",0.24876666069030762,0.019709449261426926
0.3,8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.19493165612220764,0.013009813614189625
0.3,8,400,0.001,[6],0.9943820834159851,0.004533486906439066
0.3,8,400,0.001,[12],0.14595138281583786,0.001913969754241407
0.3,9,400,0.001,[2],0.5938492193818092,0.00880684144794941
0.3,9,400,0.001,"[2, 2, 2]",0.2719876356422901,0.012251767329871655
0.3,9,400,0.001,"[2, 2, 2, 2, 2, 2]",0.24389062449336052,0.0032158116810023785
0.3,9,400,0.001,[6],0.19705433771014214,0.0048508713953197
0.3,9,400,0.001,[12],0.4522603154182434,0.002421570708975196
0.3,10,400,0.001,[2],0.22413922660052776,0.014218040741980076
0.3,10,400,0.001,"[2, 2, 2]",0.29283541068434715,0.014586537145078182
